2021-11-08_22-54-18,{'scale': 50, 'N': 45, 'mu': 0.17857142857142858, 'nu': 0.08285004142502071, 'r': 5000.0, 'x_0': 10, 'y_0': 60, 'warm_up': 0, 'run_length': 90, 'reps': 5000, 'h': 500, 'M': 1110, 'lambda': 6.212410714285715, 'fluctuation': 0.8, 'period': 1, 'stream': 1}
2021-11-08_23-26-27,{'scale': 50, 'N': 45, 'mu': 0.17857142857142858, 'nu': 0.08285004142502071, 'r': 5000.0, 'x_0': 60, 'y_0': 10, 'warm_up': 0, 'run_length': 90, 'reps': 5000, 'h': 500, 'M': 1110, 'lambda': 6.212410714285715, 'fluctuation': 0.8, 'period': 1, 'stream': 1}
2021-11-08_23-51-33,{'scale': 50, 'N': 45, 'mu': 0.17857142857142858, 'nu': 0.08285004142502071, 'r': 5000.0, 'x_0': 60, 'y_0': 60, 'warm_up': 0, 'run_length': 90, 'reps': 5000, 'h': 500, 'M': 1110, 'lambda': 6.212410714285715, 'fluctuation': 0.8, 'period': 1, 'stream': 1}
2021-11-09_00-00-00,{'scale': 50, 'N': 45, 'mu': 0.17857142857142858, 'nu': 0.08285004142502071, 'r': 5000.0, 'x_0': 43, 'y_0': 10, 'warm_up': 2000, 'run_length': 2000, 'reps': 500, 'h': 500, 'M': 1110, 'lambda': 6.212410714285715, 'fluctuation': 0.8, 'period': 1, 'stream': 1}
2021-11-09_00-31-42,{'scale': 50, 'N': 45, 'mu': 0.17857142857142858, 'nu': 0.08285004142502071, 'r': 5000.0, 'x_0': 10, 'y_0': 60, 'warm_up': 0, 'run_length': 90, 'reps': 5000, 'h': 1000, 'M': 1110, 'lambda': 6.212410714285715, 'fluctuation': 0.8, 'period': 1, 'stream': 1}
2021-11-09_00-50-09,{'scale': 50, 'N': 45, 'mu': 0.17857142857142858, 'nu': 0.08285004142502071, 'r': 5000.0, 'x_0': 60, 'y_0': 10, 'warm_up': 0, 'run_length': 90, 'reps': 5000, 'h': 1000, 'M': 1110, 'lambda': 6.212410714285715, 'fluctuation': 0.8, 'period': 1, 'stream': 1}
2021-11-09_01-10-04,{'scale': 50, 'N': 45, 'mu': 0.17857142857142858, 'nu': 0.08285004142502071, 'r': 5000.0, 'x_0': 60, 'y_0': 60, 'warm_up': 0, 'run_length': 90, 'reps': 5000, 'h': 1000, 'M': 1110, 'lambda': 6.212410714285715, 'fluctuation': 0.8, 'period': 1, 'stream': 1}
2021-11-09_01-22-37,{'scale': 50, 'N': 45, 'mu': 0.17857142857142858, 'nu': 0.08285004142502071, 'r': 5000.0, 'x_0': 43, 'y_0': 10, 'warm_up': 2000, 'run_length': 2000, 'reps': 500, 'h': 1000, 'M': 1110, 'lambda': 6.212410714285715, 'fluctuation': 0.8, 'period': 1, 'stream': 1}
2021-11-09_01-42-27,{'scale': 50, 'N': 45, 'mu': 0.17857142857142858, 'nu': 0.08285004142502071, 'r': 5000.0, 'x_0': 10, 'y_0': 60, 'warm_up': 0, 'run_length': 90, 'reps': 5000, 'h': 1500, 'M': 1110, 'lambda': 6.212410714285715, 'fluctuation': 0.8, 'period': 1, 'stream': 1}
2021-11-09_01-57-22,{'scale': 50, 'N': 45, 'mu': 0.17857142857142858, 'nu': 0.08285004142502071, 'r': 5000.0, 'x_0': 60, 'y_0': 10, 'warm_up': 0, 'run_length': 90, 'reps': 5000, 'h': 1500, 'M': 1110, 'lambda': 6.212410714285715, 'fluctuation': 0.8, 'period': 1, 'stream': 1}
2021-11-09_02-13-29,{'scale': 50, 'N': 45, 'mu': 0.17857142857142858, 'nu': 0.08285004142502071, 'r': 5000.0, 'x_0': 60, 'y_0': 60, 'warm_up': 0, 'run_length': 90, 'reps': 5000, 'h': 1500, 'M': 1110, 'lambda': 6.212410714285715, 'fluctuation': 0.8, 'period': 1, 'stream': 1}
2021-11-09_02-30-02,{'scale': 50, 'N': 45, 'mu': 0.17857142857142858, 'nu': 0.08285004142502071, 'r': 5000.0, 'x_0': 43, 'y_0': 10, 'warm_up': 2000, 'run_length': 2000, 'reps': 500, 'h': 1500, 'M': 1110, 'lambda': 6.212410714285715, 'fluctuation': 0.8, 'period': 1, 'stream': 1}
2021-11-09_02-40-57,{'scale': 50, 'N': 45, 'mu': 0.17857142857142858, 'nu': 0.08285004142502071, 'r': 5000.0, 'x_0': 10, 'y_0': 60, 'warm_up': 0, 'run_length': 90, 'reps': 5000, 'h': 2000, 'M': 1110, 'lambda': 6.212410714285715, 'fluctuation': 0.8, 'period': 1, 'stream': 1}
2021-11-09_02-55-46,{'scale': 50, 'N': 45, 'mu': 0.17857142857142858, 'nu': 0.08285004142502071, 'r': 5000.0, 'x_0': 60, 'y_0': 10, 'warm_up': 0, 'run_length': 90, 'reps': 5000, 'h': 2000, 'M': 1110, 'lambda': 6.212410714285715, 'fluctuation': 0.8, 'period': 1, 'stream': 1}
2021-11-09_03-11-47,{'scale': 50, 'N': 45, 'mu': 0.17857142857142858, 'nu': 0.08285004142502071, 'r': 5000.0, 'x_0': 60, 'y_0': 60, 'warm_up': 0, 'run_length': 90, 'reps': 5000, 'h': 2000, 'M': 1110, 'lambda': 6.212410714285715, 'fluctuation': 0.8, 'period': 1, 'stream': 1}
2021-11-09_03-33-52,{'scale': 50, 'N': 45, 'mu': 0.17857142857142858, 'nu': 0.08285004142502071, 'r': 5000.0, 'x_0': 43, 'y_0': 10, 'warm_up': 2000, 'run_length': 2000, 'reps': 500, 'h': 2000, 'M': 1110, 'lambda': 6.212410714285715, 'fluctuation': 0.8, 'period': 1, 'stream': 1}
2021-11-09_03-39-16,{'scale': 50, 'N': 45, 'mu': 0.17857142857142858, 'nu': 0.08285004142502071, 'r': 5000.0, 'x_0': 10, 'y_0': 60, 'warm_up': 0, 'run_length': 90, 'reps': 5000, 'h': 2500, 'M': 1110, 'lambda': 6.212410714285715, 'fluctuation': 0.8, 'period': 1, 'stream': 1}
2021-11-09_03-53-57,{'scale': 50, 'N': 45, 'mu': 0.17857142857142858, 'nu': 0.08285004142502071, 'r': 5000.0, 'x_0': 60, 'y_0': 10, 'warm_up': 0, 'run_length': 90, 'reps': 5000, 'h': 2500, 'M': 1110, 'lambda': 6.212410714285715, 'fluctuation': 0.8, 'period': 1, 'stream': 1}
2021-11-09_04-09-54,{'scale': 50, 'N': 45, 'mu': 0.17857142857142858, 'nu': 0.08285004142502071, 'r': 5000.0, 'x_0': 60, 'y_0': 60, 'warm_up': 0, 'run_length': 90, 'reps': 5000, 'h': 2500, 'M': 1110, 'lambda': 6.212410714285715, 'fluctuation': 0.8, 'period': 1, 'stream': 1}
2021-11-09_04-37-32,{'scale': 50, 'N': 45, 'mu': 0.17857142857142858, 'nu': 0.08285004142502071, 'r': 5000.0, 'x_0': 10, 'y_0': 60, 'warm_up': 0, 'run_length': 90, 'reps': 5000, 'h': 3000, 'M': 1110, 'lambda': 6.212410714285715, 'fluctuation': 0.8, 'period': 1, 'stream': 1}
2021-11-09_04-37-48,{'scale': 50, 'N': 45, 'mu': 0.17857142857142858, 'nu': 0.08285004142502071, 'r': 5000.0, 'x_0': 43, 'y_0': 10, 'warm_up': 2000, 'run_length': 2000, 'reps': 500, 'h': 2500, 'M': 1110, 'lambda': 6.212410714285715, 'fluctuation': 0.8, 'period': 1, 'stream': 1}
