2022-01-03_01-57-02,{'scale': 50, 'N': 45, 'mu': 0.17857142857142858, 'nu': 0.08285004142502071, 'r': 5000.0, 'x_0': 10, 'y_0': 60, 'warm_up': 0, 'run_length': 90, 'reps': 20000, 'h': 500, 'M': 1110, 'lambda': 5.907056666666667, 'fluctuation': 0.8, 'period': 1, 'stream': 11}
2022-01-03_02-56-37,{'scale': 50, 'N': 45, 'mu': 0.17857142857142858, 'nu': 0.08285004142502071, 'r': 5000.0, 'x_0': 60, 'y_0': 10, 'warm_up': 0, 'run_length': 90, 'reps': 20000, 'h': 500, 'M': 1110, 'lambda': 5.907056666666667, 'fluctuation': 0.8, 'period': 1, 'stream': 11}
2022-01-03_04-05-37,{'scale': 50, 'N': 45, 'mu': 0.17857142857142858, 'nu': 0.08285004142502071, 'r': 5000.0, 'x_0': 60, 'y_0': 60, 'warm_up': 0, 'run_length': 90, 'reps': 20000, 'h': 500, 'M': 1110, 'lambda': 5.907056666666667, 'fluctuation': 0.8, 'period': 1, 'stream': 11}
2022-01-03_04-14-27,{'scale': 50, 'N': 45, 'mu': 0.17857142857142858, 'nu': 0.08285004142502071, 'r': 5000.0, 'x_0': 43, 'y_0': 10, 'warm_up': 2000, 'run_length': 2000, 'reps': 2000, 'h': 500, 'M': 1110, 'lambda': 5.907056666666667, 'fluctuation': 0.8, 'period': 1, 'stream': 11}
2022-01-03_05-59-12,{'scale': 50, 'N': 45, 'mu': 0.17857142857142858, 'nu': 0.08285004142502071, 'r': 5000.0, 'x_0': 10, 'y_0': 60, 'warm_up': 0, 'run_length': 90, 'reps': 20000, 'h': 1000, 'M': 1110, 'lambda': 5.907056666666667, 'fluctuation': 0.8, 'period': 1, 'stream': 11}
2022-01-03_06-58-28,{'scale': 50, 'N': 45, 'mu': 0.17857142857142858, 'nu': 0.08285004142502071, 'r': 5000.0, 'x_0': 60, 'y_0': 10, 'warm_up': 0, 'run_length': 90, 'reps': 20000, 'h': 1000, 'M': 1110, 'lambda': 5.907056666666667, 'fluctuation': 0.8, 'period': 1, 'stream': 11}
2022-01-03_08-05-32,{'scale': 50, 'N': 45, 'mu': 0.17857142857142858, 'nu': 0.08285004142502071, 'r': 5000.0, 'x_0': 60, 'y_0': 60, 'warm_up': 0, 'run_length': 90, 'reps': 20000, 'h': 1000, 'M': 1110, 'lambda': 5.907056666666667, 'fluctuation': 0.8, 'period': 1, 'stream': 11}
2022-01-03_08-26-16,{'scale': 50, 'N': 45, 'mu': 0.17857142857142858, 'nu': 0.08285004142502071, 'r': 5000.0, 'x_0': 43, 'y_0': 10, 'warm_up': 2000, 'run_length': 2000, 'reps': 2000, 'h': 1000, 'M': 1110, 'lambda': 5.907056666666667, 'fluctuation': 0.8, 'period': 1, 'stream': 11}
2022-01-03_09-53-04,{'scale': 50, 'N': 45, 'mu': 0.17857142857142858, 'nu': 0.08285004142502071, 'r': 5000.0, 'x_0': 10, 'y_0': 60, 'warm_up': 0, 'run_length': 90, 'reps': 20000, 'h': 1500, 'M': 1110, 'lambda': 5.907056666666667, 'fluctuation': 0.8, 'period': 1, 'stream': 11}
2022-01-03_10-48-14,{'scale': 50, 'N': 45, 'mu': 0.17857142857142858, 'nu': 0.08285004142502071, 'r': 5000.0, 'x_0': 60, 'y_0': 10, 'warm_up': 0, 'run_length': 90, 'reps': 20000, 'h': 1500, 'M': 1110, 'lambda': 5.907056666666667, 'fluctuation': 0.8, 'period': 1, 'stream': 11}
2022-01-03_11-51-00,{'scale': 50, 'N': 45, 'mu': 0.17857142857142858, 'nu': 0.08285004142502071, 'r': 5000.0, 'x_0': 60, 'y_0': 60, 'warm_up': 0, 'run_length': 90, 'reps': 20000, 'h': 1500, 'M': 1110, 'lambda': 5.907056666666667, 'fluctuation': 0.8, 'period': 1, 'stream': 11}
