,h_cost,r_cost,C_cost,total_cost,mean_p,mean_wait,mean_queue,mean_orbit,mean_server,x_T,y_T,mean_p_time,mean_congested_time,h_cost,r_cost,C_cost,total_cost,mean_p,mean_wait,mean_queue,mean_orbit,mean_server,x_T,y_T,mean_p_time,mean_congested_time,h_cost,r_cost,C_cost,total_cost,mean_p,mean_wait,mean_queue,mean_orbit,mean_server,x_T,y_T,mean_p_time,mean_congested_time,h_cost,r_cost,C_cost,total_cost,mean_p,mean_wait,mean_queue,mean_orbit,mean_server,x_T,y_T,mean_p_time,mean_congested_time
0,3223839.0988756604,660000.0,80.02353101300226,3883919.1224066736,0.14099358220137623,8.100693006737412,62.09691940347478,19.418840344437278,44.186702187498945,38,11,0.843519616442035,0.14099358220137856,1196531.8084769035,700000.0,298634.2860193837,2195166.0944962874,0.11585608436310472,6.236913030777443,45.57021151174425,19.27300587960594,38.92281257576143,34,11,0.3557685157124918,0.11889955540085309,1315778.4561632152,690000.0,247585.09038336203,2253363.5465465775,0.12166043662057628,6.387587070923947,50.44789300234876,16.55561223175215,43.13801269033099,41,9,0.6022297924357521,0.1233601706717161,2854631.9093499635,605000.0,539482.7960207015,3999114.705370665,0.0981158349745061,7.6406773542266135,58.72291097195086,15.947821360826818,42.86384480889555,30,9,0.7447529435885121,0.1000472669745504
1,4004412.559205331,715000.0,82.8730336010022,4719495.432238932,0.1409935822013762,8.354273988499308,66.28260871283422,19.897047206770374,44.03587227280456,40,12,0.8178669441681689,0.14099358220137836,1590734.4707391667,550000.0,414060.5134235432,2554794.9841627097,0.10547357242183082,6.955538541295567,50.21372410067666,12.342896568082876,41.3763103743479,45,6,0.5123391229959525,0.1089295121395964,1000593.4775085856,630000.0,272004.73419553856,1902598.2117041242,0.1201742795960824,5.818227918079245,46.56602101152097,18.008983294076128,41.00716835869549,32,15,0.4171904799812608,0.12266784513186386,2125411.2386041437,615000.0,358570.96159969806,3098982.2002038416,0.11215741943374183,6.811011146075799,51.8470580038905,16.52132000606462,40.039217789422985,37,10,0.4465043647583549,0.11480849814665495
2,6107287.6033790475,690000.0,82.04192867950222,6797369.645307727,0.1409935822013762,10.055112821721497,78.71140569553478,19.771346806944333,44.782030121206624,42,19,0.9449924029560105,0.14099358220137828,2664476.464922478,620000.0,599417.0970155261,3883893.561938004,0.0936302278318689,7.449950596243728,58.204610943494,16.869928743106332,43.40196391614694,40,10,0.7621790291453766,0.09434088891571256,3311365.7267174064,565000.0,508407.3077331321,4384773.034450538,0.10105599404987839,7.867402377823889,61.02718800505078,16.04977862259788,42.630711745509544,37,7,0.7321847533325725,0.10208254073165027,2226623.8033376094,535000.0,525054.4582305443,3286678.2615681537,0.09932404982890361,7.185100646618652,55.656631791437526,15.026510102060794,43.28649955067301,35,13,0.7190153142259176,0.10136179368868739
3,4561332.187008228,695000.0,77.1740284250023,5256409.361036653,0.14099358220137628,9.149479988528423,70.34124804619195,17.36712181460702,45.0,84,11,1.0,0.14099358220137842,2700445.6749799713,560000.0,441811.81944556255,3702257.4944255333,0.10514156160655933,7.323739882015863,55.72113799812941,13.53073089009332,40.71866202601835,38,6,0.5530637891868477,0.10706349045002625,944593.6064028819,635000.0,256460.5786709315,1836054.1850738132,0.11989994827669125,6.447114177371654,48.51924935744113,16.444421942470647,43.271507099647316,40,9,0.5630072299102804,0.12236517269589364,2139656.7578290114,595000.0,630495.3160764088,3365152.0739054205,0.09217359900283362,7.013258912657202,56.26566760354545,15.823705145412989,44.35647759010193,56,5,0.8429731112081624,0.09383354082543147
4,4342051.362718765,690000.0,83.1104921500022,5032134.473210915,0.1409935822013762,8.523465940758253,67.6243093408238,16.997216699095105,43.50179613853651,47,8,0.7923379587263628,0.1409935822013784,1417755.525155572,620000.0,378544.9064066992,2416300.431562271,0.1087765561688262,6.610325041204474,48.20147116485058,15.908826346276136,40.32484859710747,47,10,0.4359238519355714,0.11363520528029003,1509854.8982974566,695000.0,350800.4866826001,2555655.3849800564,0.11218208439311393,6.525621459028054,48.81983338590446,16.881381066869814,40.43175061758532,42,9,0.48500797391847694,0.11551128337275629,4087242.2921822616,580000.0,572781.1338108587,5240023.42599312,0.09638740292773056,8.491471364603784,66.90069079222555,15.65578926624848,44.1937891689907,42,13,0.7559007983345348,0.09724347397775951
5,1660581.0403138225,780000.0,80.37971883650225,2440661.4200326586,0.14099358220137623,6.526298705795412,50.1356378997045,20.655788826592126,40.91018767573887,40,14,0.5682119806449946,0.14099358220137856,1539370.903305812,610000.0,378546.9248043655,2527917.828110177,0.1096165706512695,6.637109294759208,49.3386888314805,15.64882865733078,40.786628257559315,40,6,0.4341330993625493,0.11401424646107308,2716518.504924863,600000.0,507296.8328160341,3823815.3377408967,0.10085146351026474,7.657142980838283,59.29401508367259,17.246254186631184,44.2022456118679,38,11,0.7782889672556751,0.10095515556509169,2271769.16569073,600000.0,404072.76927975845,3275841.9349704883,0.1069785493576004,7.199751389845815,52.53283508900903,15.719476551667357,39.911895279616104,36,9,0.558197472986153,0.11020031446905053
6,2966885.186347751,720000.0,81.92319940500222,3686967.109547156,0.1409935822013762,7.676559950402567,60.07475302138027,16.607389693710555,43.59036691268301,46,6,0.8220284888065054,0.14099358220137848,1913466.903642598,610000.0,424054.66894815024,2947521.5725907483,0.10699128487062556,6.8660893965493655,52.40494129113635,18.273775875980498,41.77456960423305,36,13,0.5000372634175967,0.10955949739587922,968384.3116290027,630000.0,182101.02684708638,1780485.3384760893,0.12650324190207252,6.0391432608750275,46.61160438144146,15.889279527840214,41.23169153905808,34,12,0.3220318593239849,0.12746248096967314,1734728.6988818257,580000.0,516178.9699429749,2830907.6688248008,0.10175729121959999,6.436150731388536,51.81600397714055,16.77197943651995,42.178622316685924,39,14,0.6354851390983286,0.10537014100785687
7,1800256.8969806836,735000.0,82.04192867950222,2535338.938909363,0.1409935822013762,6.732815011543591,52.97831135742573,21.522497824751348,42.97688415197747,41,14,0.6122258801031231,0.14099358220137842,5470792.428630487,510000.0,757020.0,6737812.428630487,0.08100000000000111,9.70976106259487,75.39762628025673,13.458954269486917,44.99908318783676,49,8,0.9970645851832072,0.08105500284587872,1351055.0560339089,710000.0,219836.99005175382,2280892.0460856627,0.12349914500244545,6.3115482903707925,48.877857493109005,18.256499258228963,41.37199607069839,42,12,0.40409808382575985,0.1253754047586461,1123679.0248961088,675000.0,290864.1672901092,2089543.1921862178,0.11639532484962725,6.495880347676457,47.52792947987865,18.705222678572238,41.28526823045575,45,14,0.42359693138311155,0.11881738814644362
8,6450976.921055135,745000.0,81.80447013050222,7196058.725525266,0.1409935822013762,10.22555043183073,80.8406385200535,19.217146893157803,45.0,52,25,1.0,0.14099358220137842,1875492.4971184188,605000.0,432935.1438652482,2913427.640983667,0.1068864436320804,6.706786921123393,52.13846974006853,18.87199194776938,41.71906697829942,32,17,0.488595160768972,0.11020863906463639,1337407.4342230102,580000.0,327495.2358535796,2244902.67007659,0.11489019884767579,6.434633151476465,49.64622057703822,15.977997768504926,42.21617927579924,37,11,0.555662338316558,0.11864815500179725,2624358.06513727,665000.0,392976.806075091,3682334.871212361,0.10905715862018997,7.519538244841853,56.50720176595153,17.46847702759704,41.92743473741111,32,8,0.5176251163495788,0.11120571444815201
9,2019099.719171951,735000.0,82.8730336010022,2754182.592205552,0.1409935822013762,6.917449342355781,54.56229558188488,19.97174534224048,43.345074919818536,37,11,0.7557792463785338,0.14099358220137836,1400294.7683692384,650000.0,407404.7876774247,2457699.556046663,0.10763351452273182,6.456948898269349,48.41712192278407,18.855467473117216,40.63770654295498,35,9,0.4894543883264076,0.11108524858742652,1713572.4803046512,600000.0,344145.47331212857,2657717.9536167793,0.11419530545119161,6.674908307403266,52.605270889654165,16.332270575019734,43.08542377685044,39,12,0.6432844772558439,0.11657871007922865,3079596.269908608,555000.0,555021.3712694077,4189617.6411780156,0.09694544022943861,7.75765190813305,60.05208614241677,16.841798705162077,42.94321797625774,38,10,0.7253578475846636,0.09919595266545747
10,4249530.802010108,710000.0,82.04192867950222,4959612.8439387875,0.1409935822013762,8.648689396654857,67.6987922365451,19.36490948353048,44.090287780933444,41,13,0.8610025036399842,0.14099358220137825,4407949.176481612,625000.0,623835.7909935068,5656784.967475119,0.09248078623422053,8.640040780426235,68.21695235187943,19.134118912678677,43.72652651101031,48,6,0.7810026559023555,0.0933274128569959,2883352.0897376616,580000.0,408514.7876774247,3871866.8774150866,0.10759322176248551,7.896045988449224,59.15067548149086,13.732609514307306,43.13205276072603,33,8,0.7148827340333566,0.10747345701409945,2295581.0387949715,580000.0,445138.7324844259,3320719.7712793974,0.10375301376584076,7.622888705682928,55.91729811566965,16.337827555527866,43.164070122364265,43,12,0.6262314024031195,0.10446482697056775
