"2021-06-02_18-50-05,{'scale': 50, 'lambda': 9.0, 'nu': 0.1, 'mu': 0.25, 'h': 0.2, 'C': 'lambda p: 10*0.5*(0.2-p)', 'x_0': 00, 'y_0': 00, 'reps': 200, 'fluctuation': 0, 'period': 30, 'warm_up': 2000, 'run_length': 2000}"
"2021-06-02_20-43-11,{'scale': 50, 'lambda': 9.5, 'nu': 0.1, 'mu': 0.25, 'h': 0.2, 'C': 'lambda p: 10*0.5*(0.2-p)', 'x_0': 00, 'y_0': 00, 'reps': 200, 'fluctuation': 0, 'period': 30, 'warm_up': 2000, 'run_length': 2000}"
"2021-06-02_21-04-16,{'scale': 50, 'lambda': 9.0, 'nu': 0.1, 'mu': 0.25, 'h': 0.25, 'C': 'lambda p: 10*0.5*(0.2-p)', 'x_0': 25, 'y_0': 25, 'reps': 2000, 'fluctuation': 0, 'period': 30, 'warm_up': 0, 'run_length': 90}"
"2021-06-02_21-50-56,{'scale': 50, 'lambda': 9.0, 'nu': 0.1, 'mu': 0.25, 'h': 0.25, 'C': 'lambda p: 10*0.5*(0.2-p)', 'x_0': 25, 'y_0': 65, 'reps': 2000, 'fluctuation': 0, 'period': 30, 'warm_up': 0, 'run_length': 90}"
"2021-06-02_22-29-36,{'scale': 50, 'lambda': 9.0, 'nu': 0.1, 'mu': 0.25, 'h': 0.25, 'C': 'lambda p: 10*0.5*(0.2-p)', 'x_0': 65, 'y_0': 25, 'reps': 2000, 'fluctuation': 0, 'period': 30, 'warm_up': 0, 'run_length': 90}"
"2021-06-02_22-53-39,{'scale': 50, 'lambda': 9.8, 'nu': 0.1, 'mu': 0.25, 'h': 0.2, 'C': 'lambda p: 10*0.5*(0.2-p)', 'x_0': 00, 'y_0': 00, 'reps': 200, 'fluctuation': 0, 'period': 30, 'warm_up': 2000, 'run_length': 2000}"
"2021-06-02_23-09-24,{'scale': 50, 'lambda': 9.0, 'nu': 0.1, 'mu': 0.25, 'h': 0.25, 'C': 'lambda p: 10*0.5*(0.2-p)', 'x_0': 65, 'y_0': 65, 'reps': 2000, 'fluctuation': 0, 'period': 30, 'warm_up': 0, 'run_length': 90}"
"2021-06-02_23-46-39,{'scale': 50, 'lambda': 9.5, 'nu': 0.1, 'mu': 0.25, 'h': 0.25, 'C': 'lambda p: 10*0.5*(0.2-p)', 'x_0': 25, 'y_0': 25, 'reps': 2000, 'fluctuation': 0, 'period': 30, 'warm_up': 0, 'run_length': 90}"
"2021-06-03_00-31-12,{'scale': 50, 'lambda': 9.5, 'nu': 0.1, 'mu': 0.25, 'h': 0.25, 'C': 'lambda p: 10*0.5*(0.2-p)', 'x_0': 25, 'y_0': 65, 'reps': 2000, 'fluctuation': 0, 'period': 30, 'warm_up': 0, 'run_length': 90}"
"2021-06-03_00-36-35,{'scale': 50, 'lambda': 9.0, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.2, 'C': 'lambda p: 10*0.5*(0.2-p)', 'x_0': 00, 'y_0': 00, 'reps': 200, 'fluctuation': 0, 'period': 30, 'warm_up': 2000, 'run_length': 2000}"
"2021-06-03_01-09-00,{'scale': 50, 'lambda': 9.5, 'nu': 0.1, 'mu': 0.25, 'h': 0.25, 'C': 'lambda p: 10*0.5*(0.2-p)', 'x_0': 65, 'y_0': 25, 'reps': 2000, 'fluctuation': 0, 'period': 30, 'warm_up': 0, 'run_length': 90}"
"2021-06-03_01-46-57,{'scale': 50, 'lambda': 9.5, 'nu': 0.1, 'mu': 0.25, 'h': 0.25, 'C': 'lambda p: 10*0.5*(0.2-p)', 'x_0': 65, 'y_0': 65, 'reps': 2000, 'fluctuation': 0, 'period': 30, 'warm_up': 0, 'run_length': 90}"
"2021-06-03_02-23-50,{'scale': 50, 'lambda': 9.8, 'nu': 0.1, 'mu': 0.25, 'h': 0.25, 'C': 'lambda p: 10*0.5*(0.2-p)', 'x_0': 25, 'y_0': 25, 'reps': 2000, 'fluctuation': 0, 'period': 30, 'warm_up': 0, 'run_length': 90}"
"2021-06-03_02-26-24,{'scale': 50, 'lambda': 9.5, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.2, 'C': 'lambda p: 10*0.5*(0.2-p)', 'x_0': 00, 'y_0': 00, 'reps': 200, 'fluctuation': 0, 'period': 30, 'warm_up': 2000, 'run_length': 2000}"
"2021-06-03_03-02-38,{'scale': 50, 'lambda': 9.8, 'nu': 0.1, 'mu': 0.25, 'h': 0.25, 'C': 'lambda p: 10*0.5*(0.2-p)', 'x_0': 25, 'y_0': 65, 'reps': 2000, 'fluctuation': 0, 'period': 30, 'warm_up': 0, 'run_length': 90}"
