"2021-06-02_17-23-54,{'scale': 50, 'lambda': 9.0, 'nu': 0.1, 'mu': 0.25, 'h': 0.2, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 25, 'y_0': 25, 'reps': 2000, 'fluctuation': 0, 'period': 30, 'warm_up': 0, 'run_length': 90}"
"2021-06-02_17-45-33,{'scale': 50, 'lambda': 9.0, 'nu': 0.1, 'mu': 0.25, 'h': 0.2, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 25, 'y_0': 65, 'reps': 2000, 'fluctuation': 0, 'period': 30, 'warm_up': 0, 'run_length': 90}"
"2021-06-02_17-47-59,{'scale': 50, 'lambda': 9.0, 'nu': 0.1, 'mu': 0.25, 'h': 0.25, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 00, 'y_0': 00, 'reps': 200, 'fluctuation': 0, 'period': 30, 'warm_up': 2000, 'run_length': 2000}"
"2021-06-02_18-01-37,{'scale': 50, 'lambda': 9.0, 'nu': 0.1, 'mu': 0.25, 'h': 0.2, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 65, 'y_0': 25, 'reps': 2000, 'fluctuation': 0, 'period': 30, 'warm_up': 0, 'run_length': 90}"
"2021-06-02_18-18-18,{'scale': 50, 'lambda': 9.0, 'nu': 0.1, 'mu': 0.25, 'h': 0.2, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 65, 'y_0': 65, 'reps': 2000, 'fluctuation': 0, 'period': 30, 'warm_up': 0, 'run_length': 90}"
"2021-06-02_18-33-57,{'scale': 50, 'lambda': 9.5, 'nu': 0.1, 'mu': 0.25, 'h': 0.25, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 00, 'y_0': 00, 'reps': 200, 'fluctuation': 0, 'period': 30, 'warm_up': 2000, 'run_length': 2000}"
"2021-06-02_18-34-20,{'scale': 50, 'lambda': 9.5, 'nu': 0.1, 'mu': 0.25, 'h': 0.2, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 25, 'y_0': 25, 'reps': 2000, 'fluctuation': 0, 'period': 30, 'warm_up': 0, 'run_length': 90}"
"2021-06-02_18-56-43,{'scale': 50, 'lambda': 9.5, 'nu': 0.1, 'mu': 0.25, 'h': 0.2, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 25, 'y_0': 65, 'reps': 2000, 'fluctuation': 0, 'period': 30, 'warm_up': 0, 'run_length': 90}"
"2021-06-02_19-12-57,{'scale': 50, 'lambda': 9.5, 'nu': 0.1, 'mu': 0.25, 'h': 0.2, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 65, 'y_0': 25, 'reps': 2000, 'fluctuation': 0, 'period': 30, 'warm_up': 0, 'run_length': 90}"
"2021-06-02_19-29-42,{'scale': 50, 'lambda': 9.5, 'nu': 0.1, 'mu': 0.25, 'h': 0.2, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 65, 'y_0': 65, 'reps': 2000, 'fluctuation': 0, 'period': 30, 'warm_up': 0, 'run_length': 90}"
"2021-06-02_19-33-11,{'scale': 50, 'lambda': 9.8, 'nu': 0.1, 'mu': 0.25, 'h': 0.25, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 00, 'y_0': 00, 'reps': 200, 'fluctuation': 0, 'period': 30, 'warm_up': 2000, 'run_length': 2000}"
"2021-06-02_19-48-30,{'scale': 50, 'lambda': 9.8, 'nu': 0.1, 'mu': 0.25, 'h': 0.2, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 25, 'y_0': 25, 'reps': 2000, 'fluctuation': 0, 'period': 30, 'warm_up': 0, 'run_length': 90}"
"2021-06-02_20-12-41,{'scale': 50, 'lambda': 9.8, 'nu': 0.1, 'mu': 0.25, 'h': 0.2, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 25, 'y_0': 65, 'reps': 2000, 'fluctuation': 0, 'period': 30, 'warm_up': 0, 'run_length': 90}"
"2021-06-02_20-16-00,{'scale': 50, 'lambda': 9.0, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.25, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 00, 'y_0': 00, 'reps': 200, 'fluctuation': 0, 'period': 30, 'warm_up': 2000, 'run_length': 2000}"
"2021-06-02_20-41-46,{'scale': 50, 'lambda': 9.8, 'nu': 0.1, 'mu': 0.25, 'h': 0.2, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 65, 'y_0': 25, 'reps': 2000, 'fluctuation': 0, 'period': 30, 'warm_up': 0, 'run_length': 90}"
"2021-06-02_21-08-49,{'scale': 50, 'lambda': 9.8, 'nu': 0.1, 'mu': 0.25, 'h': 0.2, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 65, 'y_0': 65, 'reps': 2000, 'fluctuation': 0, 'period': 30, 'warm_up': 0, 'run_length': 90}"
"2021-06-02_21-27-59,{'scale': 50, 'lambda': 9.5, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.25, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 00, 'y_0': 00, 'reps': 200, 'fluctuation': 0, 'period': 30, 'warm_up': 2000, 'run_length': 2000}"
"2021-06-02_21-34-35,{'scale': 50, 'lambda': 9.0, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.2, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 25, 'y_0': 25, 'reps': 2000, 'fluctuation': 0, 'period': 30, 'warm_up': 0, 'run_length': 90}"
"2021-06-02_22-06-23,{'scale': 50, 'lambda': 9.0, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.2, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 25, 'y_0': 65, 'reps': 2000, 'fluctuation': 0, 'period': 30, 'warm_up': 0, 'run_length': 90}"
"2021-06-02_22-32-14,{'scale': 50, 'lambda': 9.0, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.2, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 65, 'y_0': 25, 'reps': 2000, 'fluctuation': 0, 'period': 30, 'warm_up': 0, 'run_length': 90}"
"2021-06-02_22-40-11,{'scale': 50, 'lambda': 9.8, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.25, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 00, 'y_0': 00, 'reps': 200, 'fluctuation': 0, 'period': 30, 'warm_up': 2000, 'run_length': 2000}"
"2021-06-02_23-00-05,{'scale': 50, 'lambda': 9.0, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.2, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 65, 'y_0': 65, 'reps': 2000, 'fluctuation': 0, 'period': 30, 'warm_up': 0, 'run_length': 90}"
"2021-06-02_23-25-03,{'scale': 50, 'lambda': 9.5, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.2, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 25, 'y_0': 25, 'reps': 2000, 'fluctuation': 0, 'period': 30, 'warm_up': 0, 'run_length': 90}"
"2021-06-02_23-44-09,{'scale': 50, 'lambda': 9.0, 'nu': 0.05, 'mu': 0.25, 'h': 0.25, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 00, 'y_0': 00, 'reps': 200, 'fluctuation': 0, 'period': 30, 'warm_up': 2000, 'run_length': 2000}"
"2021-06-02_23-59-27,{'scale': 50, 'lambda': 9.5, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.2, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 25, 'y_0': 65, 'reps': 2000, 'fluctuation': 0, 'period': 30, 'warm_up': 0, 'run_length': 90}"
"2021-06-03_00-24-46,{'scale': 50, 'lambda': 9.5, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.2, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 65, 'y_0': 25, 'reps': 2000, 'fluctuation': 0, 'period': 30, 'warm_up': 0, 'run_length': 90}"
"2021-06-03_00-51-43,{'scale': 50, 'lambda': 9.5, 'nu': 0.05, 'mu': 0.25, 'h': 0.25, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 00, 'y_0': 00, 'reps': 200, 'fluctuation': 0, 'period': 30, 'warm_up': 2000, 'run_length': 2000}"
"2021-06-03_00-52-23,{'scale': 50, 'lambda': 9.5, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.2, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 65, 'y_0': 65, 'reps': 2000, 'fluctuation': 0, 'period': 30, 'warm_up': 0, 'run_length': 90}"
"2021-06-03_01-18-02,{'scale': 50, 'lambda': 9.8, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.2, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 25, 'y_0': 25, 'reps': 2000, 'fluctuation': 0, 'period': 30, 'warm_up': 0, 'run_length': 90}"
"2021-06-03_01-54-19,{'scale': 50, 'lambda': 9.8, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.2, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 25, 'y_0': 65, 'reps': 2000, 'fluctuation': 0, 'period': 30, 'warm_up': 0, 'run_length': 90}"
