2021-07-08_11-56-09,{'scale': 50, 'lambda': 9.5, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.25, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 25, 'y_0': 65, 'reps': 5000, 'fluctuation': 0, 'period': 1, 'warm_up': 0, 'run_length': 90}
2021-07-08_12-25-50,{'scale': 50, 'lambda': 9.5, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.25, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 65, 'y_0': 25, 'reps': 5000, 'fluctuation': 0, 'period': 1, 'warm_up': 0, 'run_length': 90}
2021-07-08_12-41-31,{'scale': 50, 'lambda': 9.5, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.25, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 0, 'y_0': 0, 'reps': 500, 'fluctuation': 0, 'period': 1, 'warm_up': 2000, 'run_length': 2000}
2021-07-08_12-58-05,{'scale': 50, 'lambda': 9.5, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.25, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 65, 'y_0': 65, 'reps': 5000, 'fluctuation': 0, 'period': 1, 'warm_up': 0, 'run_length': 90}
2021-07-08_13-41-29,{'scale': 50, 'lambda': 9.5, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.25, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 25, 'y_0': 65, 'reps': 5000, 'fluctuation': 0, 'period': 7, 'warm_up': 0, 'run_length': 90}
2021-07-08_14-07-18,{'scale': 50, 'lambda': 9.5, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.25, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 0, 'y_0': 0, 'reps': 500, 'fluctuation': 0, 'period': 7, 'warm_up': 2000, 'run_length': 2000}
2021-07-08_14-10-34,{'scale': 50, 'lambda': 9.5, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.25, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 65, 'y_0': 25, 'reps': 5000, 'fluctuation': 0, 'period': 7, 'warm_up': 0, 'run_length': 90}
2021-07-08_14-41-49,{'scale': 50, 'lambda': 9.5, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.25, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 65, 'y_0': 65, 'reps': 5000, 'fluctuation': 0, 'period': 7, 'warm_up': 0, 'run_length': 90}
2021-07-08_15-25-23,{'scale': 50, 'lambda': 9.5, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.25, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 25, 'y_0': 65, 'reps': 5000, 'fluctuation': 0, 'period': 28, 'warm_up': 0, 'run_length': 90}
2021-07-08_15-32-30,{'scale': 50, 'lambda': 9.5, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.25, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 0, 'y_0': 0, 'reps': 500, 'fluctuation': 0, 'period': 28, 'warm_up': 2000, 'run_length': 2000}
2021-07-08_15-53-38,{'scale': 50, 'lambda': 9.5, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.25, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 65, 'y_0': 25, 'reps': 5000, 'fluctuation': 0, 'period': 28, 'warm_up': 0, 'run_length': 90}
2021-07-08_16-25-36,{'scale': 50, 'lambda': 9.5, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.25, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 65, 'y_0': 65, 'reps': 5000, 'fluctuation': 0, 'period': 28, 'warm_up': 0, 'run_length': 90}
2021-07-08_17-01-00,{'scale': 50, 'lambda': 9.5, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.25, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 0, 'y_0': 0, 'reps': 500, 'fluctuation': 0.25, 'period': 1, 'warm_up': 2000, 'run_length': 2000}
2021-07-08_17-09-53,{'scale': 50, 'lambda': 9.5, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.25, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 25, 'y_0': 65, 'reps': 5000, 'fluctuation': 0.25, 'period': 1, 'warm_up': 0, 'run_length': 90}
2021-07-08_17-39-03,{'scale': 50, 'lambda': 9.5, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.25, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 65, 'y_0': 25, 'reps': 5000, 'fluctuation': 0.25, 'period': 1, 'warm_up': 0, 'run_length': 90}
2021-07-08_18-11-56,{'scale': 50, 'lambda': 9.5, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.25, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 65, 'y_0': 65, 'reps': 5000, 'fluctuation': 0.25, 'period': 1, 'warm_up': 0, 'run_length': 90}
2021-07-08_18-30-29,{'scale': 50, 'lambda': 9.5, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.25, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 0, 'y_0': 0, 'reps': 500, 'fluctuation': 0.25, 'period': 7, 'warm_up': 2000, 'run_length': 2000}
2021-07-08_18-55-38,{'scale': 50, 'lambda': 9.5, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.25, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 25, 'y_0': 65, 'reps': 5000, 'fluctuation': 0.25, 'period': 7, 'warm_up': 0, 'run_length': 90}
2021-07-08_19-24-50,{'scale': 50, 'lambda': 9.5, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.25, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 65, 'y_0': 25, 'reps': 5000, 'fluctuation': 0.25, 'period': 7, 'warm_up': 0, 'run_length': 90}
2021-07-08_19-55-57,{'scale': 50, 'lambda': 9.5, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.25, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 65, 'y_0': 65, 'reps': 5000, 'fluctuation': 0.25, 'period': 7, 'warm_up': 0, 'run_length': 90}
2021-07-08_19-57-51,{'scale': 50, 'lambda': 9.5, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.25, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 0, 'y_0': 0, 'reps': 500, 'fluctuation': 0.25, 'period': 28, 'warm_up': 2000, 'run_length': 2000}
2021-07-08_20-35-17,{'scale': 50, 'lambda': 9.5, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.25, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 25, 'y_0': 65, 'reps': 5000, 'fluctuation': 0.25, 'period': 28, 'warm_up': 0, 'run_length': 90}
2021-07-08_21-05-02,{'scale': 50, 'lambda': 9.5, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.25, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 65, 'y_0': 25, 'reps': 5000, 'fluctuation': 0.25, 'period': 28, 'warm_up': 0, 'run_length': 90}
2021-07-08_21-27-35,{'scale': 50, 'lambda': 9.5, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.25, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 0, 'y_0': 0, 'reps': 500, 'fluctuation': 0.5, 'period': 1, 'warm_up': 2000, 'run_length': 2000}
2021-07-08_21-35-30,{'scale': 50, 'lambda': 9.5, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.25, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 65, 'y_0': 65, 'reps': 5000, 'fluctuation': 0.25, 'period': 28, 'warm_up': 0, 'run_length': 90}
2021-07-08_22-19-35,{'scale': 50, 'lambda': 9.5, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.25, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 25, 'y_0': 65, 'reps': 5000, 'fluctuation': 0.5, 'period': 1, 'warm_up': 0, 'run_length': 90}
2021-07-08_22-48-43,{'scale': 50, 'lambda': 9.5, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.25, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 65, 'y_0': 25, 'reps': 5000, 'fluctuation': 0.5, 'period': 1, 'warm_up': 0, 'run_length': 90}
2021-07-08_22-57-13,{'scale': 50, 'lambda': 9.5, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.25, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 0, 'y_0': 0, 'reps': 500, 'fluctuation': 0.5, 'period': 7, 'warm_up': 2000, 'run_length': 2000}
2021-07-08_23-21-23,{'scale': 50, 'lambda': 9.5, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.25, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 65, 'y_0': 65, 'reps': 5000, 'fluctuation': 0.5, 'period': 1, 'warm_up': 0, 'run_length': 90}
2021-07-09_00-04-21,{'scale': 50, 'lambda': 9.5, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.25, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 25, 'y_0': 65, 'reps': 5000, 'fluctuation': 0.5, 'period': 7, 'warm_up': 0, 'run_length': 90}
2021-07-09_00-26-04,{'scale': 50, 'lambda': 9.5, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.25, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 0, 'y_0': 0, 'reps': 500, 'fluctuation': 0.5, 'period': 28, 'warm_up': 2000, 'run_length': 2000}
