2023-04-23_17-26-37,{'scale': 50, 'lambda': 19.0, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.05, 'C': 'lambda p: 100*0.2*(0.2-p)**2', 'x_0': 50, 'y_0': 50, 'reps': 200, 'fluctuation': 0, 'period': 30, 'warm_up': 2000, 'run_length': 2000, 'N': 100}
2023-04-23_18-01-04,{'scale': 50, 'lambda': 19.0, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.05, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 50, 'y_0': 50, 'reps': 200, 'fluctuation': 0, 'period': 30, 'warm_up': 2000, 'run_length': 2000, 'N': 100}
2023-04-23_18-32-25,{'scale': 50, 'lambda': 19.0, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.05, 'C': 'lambda p: 100*1.0*(0.2-p)**2', 'x_0': 50, 'y_0': 50, 'reps': 200, 'fluctuation': 0, 'period': 30, 'warm_up': 2000, 'run_length': 2000, 'N': 100}
2023-04-23_19-02-35,{'scale': 50, 'lambda': 19.0, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.1, 'C': 'lambda p: 100*0.2*(0.2-p)**2', 'x_0': 50, 'y_0': 50, 'reps': 200, 'fluctuation': 0, 'period': 30, 'warm_up': 2000, 'run_length': 2000, 'N': 100}
2023-04-23_19-33-38,{'scale': 50, 'lambda': 19.0, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.1, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 50, 'y_0': 50, 'reps': 200, 'fluctuation': 0, 'period': 30, 'warm_up': 2000, 'run_length': 2000, 'N': 100}
2023-04-23_20-05-23,{'scale': 50, 'lambda': 19.0, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.1, 'C': 'lambda p: 100*1.0*(0.2-p)**2', 'x_0': 50, 'y_0': 50, 'reps': 200, 'fluctuation': 0, 'period': 30, 'warm_up': 2000, 'run_length': 2000, 'N': 100}
2023-04-23_20-35-41,{'scale': 50, 'lambda': 19.0, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.25, 'C': 'lambda p: 100*0.2*(0.2-p)**2', 'x_0': 50, 'y_0': 50, 'reps': 200, 'fluctuation': 0, 'period': 30, 'warm_up': 2000, 'run_length': 2000, 'N': 100}
2023-04-23_21-07-09,{'scale': 50, 'lambda': 19.0, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.25, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 50, 'y_0': 50, 'reps': 200, 'fluctuation': 0, 'period': 30, 'warm_up': 2000, 'run_length': 2000, 'N': 100}
2023-04-23_21-38-56,{'scale': 50, 'lambda': 19.0, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.25, 'C': 'lambda p: 100*1.0*(0.2-p)**2', 'x_0': 50, 'y_0': 50, 'reps': 200, 'fluctuation': 0, 'period': 30, 'warm_up': 2000, 'run_length': 2000, 'N': 100}
2023-04-23_22-09-17,{'scale': 50, 'lambda': 19.0, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.5, 'C': 'lambda p: 100*0.2*(0.2-p)**2', 'x_0': 50, 'y_0': 50, 'reps': 200, 'fluctuation': 0, 'period': 30, 'warm_up': 2000, 'run_length': 2000, 'N': 100}
2023-04-23_22-40-25,{'scale': 50, 'lambda': 19.0, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.5, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 50, 'y_0': 50, 'reps': 200, 'fluctuation': 0, 'period': 30, 'warm_up': 2000, 'run_length': 2000, 'N': 100}
2023-04-23_23-12-02,{'scale': 50, 'lambda': 19.0, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.5, 'C': 'lambda p: 100*1.0*(0.2-p)**2', 'x_0': 50, 'y_0': 50, 'reps': 200, 'fluctuation': 0, 'period': 30, 'warm_up': 2000, 'run_length': 2000, 'N': 100}
2023-04-23_23-42-23,{'scale': 50, 'lambda': 19.0, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 1.0, 'C': 'lambda p: 100*0.2*(0.2-p)**2', 'x_0': 50, 'y_0': 50, 'reps': 200, 'fluctuation': 0, 'period': 30, 'warm_up': 2000, 'run_length': 2000, 'N': 100}
2023-04-24_00-13-43,{'scale': 50, 'lambda': 19.0, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 1.0, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 50, 'y_0': 50, 'reps': 200, 'fluctuation': 0, 'period': 30, 'warm_up': 2000, 'run_length': 2000, 'N': 100}
2023-04-24_00-45-21,{'scale': 50, 'lambda': 19.0, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 1.0, 'C': 'lambda p: 100*1.0*(0.2-p)**2', 'x_0': 50, 'y_0': 50, 'reps': 200, 'fluctuation': 0, 'period': 30, 'warm_up': 2000, 'run_length': 2000, 'N': 100}
2023-04-24_20-20-34,{'scale': 50, 'lambda': 19.0, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.05, 'C': 'lambda p: 100*0.2*(0.2-p)**2', 'x_0': 50, 'y_0': 50, 'reps': 200, 'fluctuation': 0, 'period': 30, 'warm_up': 2000, 'run_length': 2000, 'N': 100}
2023-04-24_20-51-07,{'scale': 50, 'lambda': 19.0, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.05, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 50, 'y_0': 50, 'reps': 200, 'fluctuation': 0, 'period': 30, 'warm_up': 2000, 'run_length': 2000, 'N': 100}
2023-04-24_21-22-53,{'scale': 50, 'lambda': 19.0, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.05, 'C': 'lambda p: 100*1.0*(0.2-p)**2', 'x_0': 50, 'y_0': 50, 'reps': 200, 'fluctuation': 0, 'period': 30, 'warm_up': 2000, 'run_length': 2000, 'N': 100}
2023-04-24_21-52-52,{'scale': 50, 'lambda': 19.0, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.1, 'C': 'lambda p: 100*0.2*(0.2-p)**2', 'x_0': 50, 'y_0': 50, 'reps': 200, 'fluctuation': 0, 'period': 30, 'warm_up': 2000, 'run_length': 2000, 'N': 100}
2023-04-24_22-23-53,{'scale': 50, 'lambda': 19.0, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.1, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 50, 'y_0': 50, 'reps': 200, 'fluctuation': 0, 'period': 30, 'warm_up': 2000, 'run_length': 2000, 'N': 100}
2023-04-24_22-55-26,{'scale': 50, 'lambda': 19.0, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.1, 'C': 'lambda p: 100*1.0*(0.2-p)**2', 'x_0': 50, 'y_0': 50, 'reps': 200, 'fluctuation': 0, 'period': 30, 'warm_up': 2000, 'run_length': 2000, 'N': 100}
2023-04-24_23-26-00,{'scale': 50, 'lambda': 19.0, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.25, 'C': 'lambda p: 100*0.2*(0.2-p)**2', 'x_0': 50, 'y_0': 50, 'reps': 200, 'fluctuation': 0, 'period': 30, 'warm_up': 2000, 'run_length': 2000, 'N': 100}
2023-04-24_23-57-21,{'scale': 50, 'lambda': 19.0, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.25, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 50, 'y_0': 50, 'reps': 200, 'fluctuation': 0, 'period': 30, 'warm_up': 2000, 'run_length': 2000, 'N': 100}
2023-04-25_00-29-02,{'scale': 50, 'lambda': 19.0, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.25, 'C': 'lambda p: 100*1.0*(0.2-p)**2', 'x_0': 50, 'y_0': 50, 'reps': 200, 'fluctuation': 0, 'period': 30, 'warm_up': 2000, 'run_length': 2000, 'N': 100}
2023-04-25_00-59-24,{'scale': 50, 'lambda': 19.0, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.5, 'C': 'lambda p: 100*0.2*(0.2-p)**2', 'x_0': 50, 'y_0': 50, 'reps': 200, 'fluctuation': 0, 'period': 30, 'warm_up': 2000, 'run_length': 2000, 'N': 100}
2023-04-25_01-30-48,{'scale': 50, 'lambda': 19.0, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.5, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 50, 'y_0': 50, 'reps': 200, 'fluctuation': 0, 'period': 30, 'warm_up': 2000, 'run_length': 2000, 'N': 100}
2023-04-25_02-02-27,{'scale': 50, 'lambda': 19.0, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.5, 'C': 'lambda p: 100*1.0*(0.2-p)**2', 'x_0': 50, 'y_0': 50, 'reps': 200, 'fluctuation': 0, 'period': 30, 'warm_up': 2000, 'run_length': 2000, 'N': 100}
2023-04-25_02-32-44,{'scale': 50, 'lambda': 19.0, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 1.0, 'C': 'lambda p: 100*0.2*(0.2-p)**2', 'x_0': 50, 'y_0': 50, 'reps': 200, 'fluctuation': 0, 'period': 30, 'warm_up': 2000, 'run_length': 2000, 'N': 100}
2023-04-25_03-04-10,{'scale': 50, 'lambda': 19.0, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 1.0, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 50, 'y_0': 50, 'reps': 200, 'fluctuation': 0, 'period': 30, 'warm_up': 2000, 'run_length': 2000, 'N': 100}
2023-04-25_03-36-01,{'scale': 50, 'lambda': 19.0, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 1.0, 'C': 'lambda p: 100*1.0*(0.2-p)**2', 'x_0': 50, 'y_0': 50, 'reps': 200, 'fluctuation': 0, 'period': 30, 'warm_up': 2000, 'run_length': 2000, 'N': 100}
2023-04-25_09-42-25,{'scale': 50, 'lambda': 19.0, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.05, 'C': 'lambda p: 100*0.2*(0.2-p)**2', 'x_0': 50, 'y_0': 50, 'reps': 200, 'fluctuation': 0, 'period': 30, 'warm_up': 2000, 'run_length': 2000, 'N': 100}
2023-04-25_10-12-59,{'scale': 50, 'lambda': 19.0, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.05, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 50, 'y_0': 50, 'reps': 200, 'fluctuation': 0, 'period': 30, 'warm_up': 2000, 'run_length': 2000, 'N': 100}
2023-04-25_10-44-36,{'scale': 50, 'lambda': 19.0, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.05, 'C': 'lambda p: 100*1.0*(0.2-p)**2', 'x_0': 50, 'y_0': 50, 'reps': 200, 'fluctuation': 0, 'period': 30, 'warm_up': 2000, 'run_length': 2000, 'N': 100}
2023-04-25_11-15-14,{'scale': 50, 'lambda': 19.0, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.1, 'C': 'lambda p: 100*0.2*(0.2-p)**2', 'x_0': 50, 'y_0': 50, 'reps': 200, 'fluctuation': 0, 'period': 30, 'warm_up': 2000, 'run_length': 2000, 'N': 100}
2023-04-25_11-46-41,{'scale': 50, 'lambda': 19.0, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.1, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 50, 'y_0': 50, 'reps': 200, 'fluctuation': 0, 'period': 30, 'warm_up': 2000, 'run_length': 2000, 'N': 100}
2023-04-25_12-18-27,{'scale': 50, 'lambda': 19.0, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.1, 'C': 'lambda p: 100*1.0*(0.2-p)**2', 'x_0': 50, 'y_0': 50, 'reps': 200, 'fluctuation': 0, 'period': 30, 'warm_up': 2000, 'run_length': 2000, 'N': 100}
2023-04-25_12-48-57,{'scale': 50, 'lambda': 19.0, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.25, 'C': 'lambda p: 100*0.2*(0.2-p)**2', 'x_0': 50, 'y_0': 50, 'reps': 200, 'fluctuation': 0, 'period': 30, 'warm_up': 2000, 'run_length': 2000, 'N': 100}
2023-04-25_13-20-26,{'scale': 50, 'lambda': 19.0, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.25, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 50, 'y_0': 50, 'reps': 200, 'fluctuation': 0, 'period': 30, 'warm_up': 2000, 'run_length': 2000, 'N': 100}
2023-04-25_13-52-08,{'scale': 50, 'lambda': 19.0, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.25, 'C': 'lambda p: 100*1.0*(0.2-p)**2', 'x_0': 50, 'y_0': 50, 'reps': 200, 'fluctuation': 0, 'period': 30, 'warm_up': 2000, 'run_length': 2000, 'N': 100}
2023-04-25_14-22-37,{'scale': 50, 'lambda': 19.0, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.5, 'C': 'lambda p: 100*0.2*(0.2-p)**2', 'x_0': 50, 'y_0': 50, 'reps': 200, 'fluctuation': 0, 'period': 30, 'warm_up': 2000, 'run_length': 2000, 'N': 100}
2023-04-25_14-54-01,{'scale': 50, 'lambda': 19.0, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.5, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 50, 'y_0': 50, 'reps': 200, 'fluctuation': 0, 'period': 30, 'warm_up': 2000, 'run_length': 2000, 'N': 100}
2023-04-25_15-25-49,{'scale': 50, 'lambda': 19.0, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.5, 'C': 'lambda p: 100*1.0*(0.2-p)**2', 'x_0': 50, 'y_0': 50, 'reps': 200, 'fluctuation': 0, 'period': 30, 'warm_up': 2000, 'run_length': 2000, 'N': 100}
2023-04-25_15-56-11,{'scale': 50, 'lambda': 19.0, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 1.0, 'C': 'lambda p: 100*0.2*(0.2-p)**2', 'x_0': 50, 'y_0': 50, 'reps': 200, 'fluctuation': 0, 'period': 30, 'warm_up': 2000, 'run_length': 2000, 'N': 100}
2023-04-25_16-27-30,{'scale': 50, 'lambda': 19.0, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 1.0, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 50, 'y_0': 50, 'reps': 200, 'fluctuation': 0, 'period': 30, 'warm_up': 2000, 'run_length': 2000, 'N': 100}
2023-04-25_16-59-20,{'scale': 50, 'lambda': 19.0, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 1.0, 'C': 'lambda p: 100*1.0*(0.2-p)**2', 'x_0': 50, 'y_0': 50, 'reps': 200, 'fluctuation': 0, 'period': 30, 'warm_up': 2000, 'run_length': 2000, 'N': 100}
2023-04-25_18-19-16,{'scale': 50, 'lambda': 19.0, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.05, 'C': 'lambda p: 100*0.2*(0.2-p)**2', 'x_0': 50, 'y_0': 50, 'reps': 200, 'fluctuation': 0, 'period': 30, 'warm_up': 2000, 'run_length': 2000, 'N': 100}
2023-04-25_18-50-11,{'scale': 50, 'lambda': 19.0, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.05, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 50, 'y_0': 50, 'reps': 200, 'fluctuation': 0, 'period': 30, 'warm_up': 2000, 'run_length': 2000, 'N': 100}
2023-04-25_19-21-48,{'scale': 50, 'lambda': 19.0, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.05, 'C': 'lambda p: 100*1.0*(0.2-p)**2', 'x_0': 50, 'y_0': 50, 'reps': 200, 'fluctuation': 0, 'period': 30, 'warm_up': 2000, 'run_length': 2000, 'N': 100}
2023-04-25_19-52-09,{'scale': 50, 'lambda': 19.0, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.1, 'C': 'lambda p: 100*0.2*(0.2-p)**2', 'x_0': 50, 'y_0': 50, 'reps': 200, 'fluctuation': 0, 'period': 30, 'warm_up': 2000, 'run_length': 2000, 'N': 100}
2023-04-25_20-23-37,{'scale': 50, 'lambda': 19.0, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.1, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 50, 'y_0': 50, 'reps': 200, 'fluctuation': 0, 'period': 30, 'warm_up': 2000, 'run_length': 2000, 'N': 100}
2023-04-25_20-55-23,{'scale': 50, 'lambda': 19.0, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.1, 'C': 'lambda p: 100*1.0*(0.2-p)**2', 'x_0': 50, 'y_0': 50, 'reps': 200, 'fluctuation': 0, 'period': 30, 'warm_up': 2000, 'run_length': 2000, 'N': 100}
2023-04-25_21-25-44,{'scale': 50, 'lambda': 19.0, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.25, 'C': 'lambda p: 100*0.2*(0.2-p)**2', 'x_0': 50, 'y_0': 50, 'reps': 200, 'fluctuation': 0, 'period': 30, 'warm_up': 2000, 'run_length': 2000, 'N': 100}
2023-04-25_21-58-01,{'scale': 50, 'lambda': 19.0, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.25, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 50, 'y_0': 50, 'reps': 200, 'fluctuation': 0, 'period': 30, 'warm_up': 2000, 'run_length': 2000, 'N': 100}
2023-04-25_22-29-53,{'scale': 50, 'lambda': 19.0, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.25, 'C': 'lambda p: 100*1.0*(0.2-p)**2', 'x_0': 50, 'y_0': 50, 'reps': 200, 'fluctuation': 0, 'period': 30, 'warm_up': 2000, 'run_length': 2000, 'N': 100}
2023-04-25_23-00-28,{'scale': 50, 'lambda': 19.0, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.5, 'C': 'lambda p: 100*0.2*(0.2-p)**2', 'x_0': 50, 'y_0': 50, 'reps': 200, 'fluctuation': 0, 'period': 30, 'warm_up': 2000, 'run_length': 2000, 'N': 100}
2023-04-25_23-32-05,{'scale': 50, 'lambda': 19.0, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.5, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 50, 'y_0': 50, 'reps': 200, 'fluctuation': 0, 'period': 30, 'warm_up': 2000, 'run_length': 2000, 'N': 100}
2023-04-26_00-04-12,{'scale': 50, 'lambda': 19.0, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.5, 'C': 'lambda p: 100*1.0*(0.2-p)**2', 'x_0': 50, 'y_0': 50, 'reps': 200, 'fluctuation': 0, 'period': 30, 'warm_up': 2000, 'run_length': 2000, 'N': 100}
2023-04-26_00-34-52,{'scale': 50, 'lambda': 19.0, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 1.0, 'C': 'lambda p: 100*0.2*(0.2-p)**2', 'x_0': 50, 'y_0': 50, 'reps': 200, 'fluctuation': 0, 'period': 30, 'warm_up': 2000, 'run_length': 2000, 'N': 100}
2023-04-26_01-06-40,{'scale': 50, 'lambda': 19.0, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 1.0, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 50, 'y_0': 50, 'reps': 200, 'fluctuation': 0, 'period': 30, 'warm_up': 2000, 'run_length': 2000, 'N': 100}
2023-04-26_01-38-57,{'scale': 50, 'lambda': 19.0, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 1.0, 'C': 'lambda p: 100*1.0*(0.2-p)**2', 'x_0': 50, 'y_0': 50, 'reps': 200, 'fluctuation': 0, 'period': 30, 'warm_up': 2000, 'run_length': 2000, 'N': 100}
2023-04-26_08-45-40,{'scale': 50, 'lambda': 19.0, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.05, 'C': 'lambda p: 100*0.2*(0.2-p)**2', 'x_0': 50, 'y_0': 50, 'reps': 200, 'fluctuation': 0, 'period': 30, 'warm_up': 2000, 'run_length': 2000, 'N': 100}
2023-04-26_09-16-17,{'scale': 50, 'lambda': 19.0, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.05, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 50, 'y_0': 50, 'reps': 200, 'fluctuation': 0, 'period': 30, 'warm_up': 2000, 'run_length': 2000, 'N': 100}
2023-04-26_09-47-24,{'scale': 50, 'lambda': 19.0, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.05, 'C': 'lambda p: 100*1.0*(0.2-p)**2', 'x_0': 50, 'y_0': 50, 'reps': 200, 'fluctuation': 0, 'period': 30, 'warm_up': 2000, 'run_length': 2000, 'N': 100}
2023-04-26_10-17-29,{'scale': 50, 'lambda': 19.0, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.1, 'C': 'lambda p: 100*0.2*(0.2-p)**2', 'x_0': 50, 'y_0': 50, 'reps': 200, 'fluctuation': 0, 'period': 30, 'warm_up': 2000, 'run_length': 2000, 'N': 100}
2023-04-26_10-48-48,{'scale': 50, 'lambda': 19.0, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.1, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 50, 'y_0': 50, 'reps': 200, 'fluctuation': 0, 'period': 30, 'warm_up': 2000, 'run_length': 2000, 'N': 100}
2023-04-26_11-20-47,{'scale': 50, 'lambda': 19.0, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.1, 'C': 'lambda p: 100*1.0*(0.2-p)**2', 'x_0': 50, 'y_0': 50, 'reps': 200, 'fluctuation': 0, 'period': 30, 'warm_up': 2000, 'run_length': 2000, 'N': 100}
2023-04-26_11-51-26,{'scale': 50, 'lambda': 19.0, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.25, 'C': 'lambda p: 100*0.2*(0.2-p)**2', 'x_0': 50, 'y_0': 50, 'reps': 200, 'fluctuation': 0, 'period': 30, 'warm_up': 2000, 'run_length': 2000, 'N': 100}
2023-04-26_12-23-04,{'scale': 50, 'lambda': 19.0, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.25, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 50, 'y_0': 50, 'reps': 200, 'fluctuation': 0, 'period': 30, 'warm_up': 2000, 'run_length': 2000, 'N': 100}
2023-04-26_12-55-02,{'scale': 50, 'lambda': 19.0, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.25, 'C': 'lambda p: 100*1.0*(0.2-p)**2', 'x_0': 50, 'y_0': 50, 'reps': 200, 'fluctuation': 0, 'period': 30, 'warm_up': 2000, 'run_length': 2000, 'N': 100}
2023-04-26_13-25-24,{'scale': 50, 'lambda': 19.0, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.5, 'C': 'lambda p: 100*0.2*(0.2-p)**2', 'x_0': 50, 'y_0': 50, 'reps': 200, 'fluctuation': 0, 'period': 30, 'warm_up': 2000, 'run_length': 2000, 'N': 100}
2023-04-26_13-56-45,{'scale': 50, 'lambda': 19.0, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.5, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 50, 'y_0': 50, 'reps': 200, 'fluctuation': 0, 'period': 30, 'warm_up': 2000, 'run_length': 2000, 'N': 100}
2023-04-26_14-28-37,{'scale': 50, 'lambda': 19.0, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.5, 'C': 'lambda p: 100*1.0*(0.2-p)**2', 'x_0': 50, 'y_0': 50, 'reps': 200, 'fluctuation': 0, 'period': 30, 'warm_up': 2000, 'run_length': 2000, 'N': 100}
2023-04-26_14-59-06,{'scale': 50, 'lambda': 19.0, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 1.0, 'C': 'lambda p: 100*0.2*(0.2-p)**2', 'x_0': 50, 'y_0': 50, 'reps': 200, 'fluctuation': 0, 'period': 30, 'warm_up': 2000, 'run_length': 2000, 'N': 100}
2023-04-26_15-30-21,{'scale': 50, 'lambda': 19.0, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 1.0, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 50, 'y_0': 50, 'reps': 200, 'fluctuation': 0, 'period': 30, 'warm_up': 2000, 'run_length': 2000, 'N': 100}
2023-04-26_16-01-59,{'scale': 50, 'lambda': 19.0, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 1.0, 'C': 'lambda p: 100*1.0*(0.2-p)**2', 'x_0': 50, 'y_0': 50, 'reps': 200, 'fluctuation': 0, 'period': 30, 'warm_up': 2000, 'run_length': 2000, 'N': 100}
