2023-02-05_21-33-47,{'scale': 50, 'lambda': 9.5, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.05, 'C': 'lambda p: 100*0.2*(0.2-p)**2', 'x_0': 25, 'y_0': 25, 'reps': 200, 'fluctuation': 0, 'period': 30, 'warm_up': 2000, 'run_length': 2000}
2023-02-05_21-47-49,{'scale': 50, 'lambda': 9.5, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.05, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 25, 'y_0': 25, 'reps': 200, 'fluctuation': 0, 'period': 30, 'warm_up': 2000, 'run_length': 2000}
2023-02-05_22-00-46,{'scale': 50, 'lambda': 9.5, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.05, 'C': 'lambda p: 100*1.0*(0.2-p)**2', 'x_0': 25, 'y_0': 25, 'reps': 200, 'fluctuation': 0, 'period': 30, 'warm_up': 2000, 'run_length': 2000}
2023-02-05_22-12-24,{'scale': 50, 'lambda': 9.5, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.1, 'C': 'lambda p: 100*0.2*(0.2-p)**2', 'x_0': 25, 'y_0': 25, 'reps': 200, 'fluctuation': 0, 'period': 30, 'warm_up': 2000, 'run_length': 2000}
2023-02-05_22-24-18,{'scale': 50, 'lambda': 9.5, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.1, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 25, 'y_0': 25, 'reps': 200, 'fluctuation': 0, 'period': 30, 'warm_up': 2000, 'run_length': 2000}
2023-02-05_22-36-13,{'scale': 50, 'lambda': 9.5, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.1, 'C': 'lambda p: 100*1.0*(0.2-p)**2', 'x_0': 25, 'y_0': 25, 'reps': 200, 'fluctuation': 0, 'period': 30, 'warm_up': 2000, 'run_length': 2000}
2023-02-05_22-47-43,{'scale': 50, 'lambda': 9.5, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.25, 'C': 'lambda p: 100*0.2*(0.2-p)**2', 'x_0': 25, 'y_0': 25, 'reps': 200, 'fluctuation': 0, 'period': 30, 'warm_up': 2000, 'run_length': 2000}
2023-02-05_23-00-18,{'scale': 50, 'lambda': 9.5, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.25, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 25, 'y_0': 25, 'reps': 200, 'fluctuation': 0, 'period': 30, 'warm_up': 2000, 'run_length': 2000}
2023-02-05_23-13-35,{'scale': 50, 'lambda': 9.5, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.25, 'C': 'lambda p: 100*1.0*(0.2-p)**2', 'x_0': 25, 'y_0': 25, 'reps': 200, 'fluctuation': 0, 'period': 30, 'warm_up': 2000, 'run_length': 2000}
2023-02-05_23-22-59,{'scale': 50, 'lambda': 9.5, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.5, 'C': 'lambda p: 100*0.2*(0.2-p)**2', 'x_0': 25, 'y_0': 25, 'reps': 200, 'fluctuation': 0, 'period': 30, 'warm_up': 2000, 'run_length': 2000}
2023-02-05_23-32-31,{'scale': 50, 'lambda': 9.5, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.5, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 25, 'y_0': 25, 'reps': 200, 'fluctuation': 0, 'period': 30, 'warm_up': 2000, 'run_length': 2000}
2023-02-05_23-41-54,{'scale': 50, 'lambda': 9.5, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.5, 'C': 'lambda p: 100*1.0*(0.2-p)**2', 'x_0': 25, 'y_0': 25, 'reps': 200, 'fluctuation': 0, 'period': 30, 'warm_up': 2000, 'run_length': 2000}
2023-02-05_23-50-47,{'scale': 50, 'lambda': 9.5, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 1.0, 'C': 'lambda p: 100*0.2*(0.2-p)**2', 'x_0': 25, 'y_0': 25, 'reps': 200, 'fluctuation': 0, 'period': 30, 'warm_up': 2000, 'run_length': 2000}
2023-02-05_23-59-55,{'scale': 50, 'lambda': 9.5, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 1.0, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 25, 'y_0': 25, 'reps': 200, 'fluctuation': 0, 'period': 30, 'warm_up': 2000, 'run_length': 2000}
2023-02-06_00-09-09,{'scale': 50, 'lambda': 9.5, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 1.0, 'C': 'lambda p: 100*1.0*(0.2-p)**2', 'x_0': 25, 'y_0': 25, 'reps': 200, 'fluctuation': 0, 'period': 30, 'warm_up': 2000, 'run_length': 2000}
